   X     Q^2 F2(Pb)EPS09/F2p Stheo       statEPS09   systEPS09
0.0250 11.50 0.933385E+00 0.113905E-01 0.152234E-01 0.294953E-01
0.0350  1.80 0.898228E+00 0.158375E-01 0.274968E-01 0.274968E-01
0.0350  2.30 0.877039E+00 0.147443E-01 0.184640E-01 0.276960E-01
0.0350  2.80 0.894237E+00 0.154543E-01 0.157861E-01 0.928595E-02
0.0350  3.50 0.906576E+00 0.131457E-01 0.102596E-01 0.559615E-02
0.0350  4.50 0.909615E+00 0.114529E-01 0.103046E-01 0.843104E-02
0.0350  5.50 0.908083E+00 0.102218E-01 0.103727E-01 0.122586E-01
0.0350  7.00 0.929854E+00 0.105508E-01 0.853948E-02 0.569298E-02
0.0350  9.00 0.951953E+00 0.111757E-01 0.860199E-02 0.143366E-01
0.0350 11.50 0.957511E+00 0.121525E-01 0.865221E-02 0.105749E-01
0.0350 15.00 0.960026E+00 0.140006E-01 0.135351E-01 0.154687E-01
0.0350 20.00 0.893773E+00 0.142170E-01 0.971492E-01 0.680044E-01
0.0450  1.80 0.886620E+00 0.196572E-01 0.369425E-01 0.120063E+00
0.0450  2.30 0.907928E+00 0.195456E-01 0.280803E-01 0.280803E-01
0.0450  2.80 0.921448E+00 0.198046E-01 0.206645E-01 0.178466E-01
0.0450  3.50 0.915282E+00 0.158277E-01 0.131695E-01 0.206950E-01
0.0450  4.50 0.944208E+00 0.119752E-01 0.122747E-01 0.151073E-01
0.0450  5.50 0.929144E+00 0.898699E-02 0.113889E-01 0.379630E-02
0.0450  7.00 0.929648E+00 0.923675E-02 0.861671E-02 0.153186E-01
0.0450  9.00 0.970976E+00 0.108452E-01 0.105750E-01 0.182659E-01
0.0450 11.50 0.968076E+00 0.119197E-01 0.869529E-02 0.579686E-02
0.0450 15.00 0.964780E+00 0.147659E-01 0.971581E-02 0.582949E-02
0.0450 20.00 0.984260E+00 0.157976E-01 0.175413E-01 0.126687E-01
0.0550  2.30 0.913651E+00 0.204300E-01 0.282572E-01 0.376763E-01
0.0550  2.80 0.878669E+00 0.190159E-01 0.283442E-01 0.377922E-01
0.0550  3.50 0.963199E+00 0.166597E-01 0.160849E-01 0.756934E-02
0.0550  4.50 0.963916E+00 0.127756E-01 0.151947E-01 0.265908E-01
0.0550  5.50 0.958746E+00 0.880357E-02 0.142954E-01 0.667119E-02
0.0550  7.00 0.957817E+00 0.916648E-02 0.961664E-02 0.211566E-01
0.0550  9.00 0.976729E+00 0.995539E-02 0.105957E-01 0.125222E-01
0.0550 11.50 0.974268E+00 0.106670E-01 0.966536E-02 0.386614E-02
0.0550 15.00 0.979587E+00 0.133381E-01 0.971812E-02 0.388725E-02
0.0550 20.00 0.988473E+00 0.135943E-01 0.116864E-01 0.681705E-02
0.0550 27.00 0.956300E+00 0.146715E-01 0.292745E-01 0.195163E-01
0.0700  2.30 0.876579E+00 0.175645E-01 0.282767E-01 0.565535E-01
0.0700  2.80 0.936703E+00 0.176061E-01 0.189233E-01 0.283849E-01
0.0700  3.50 0.961226E+00 0.148504E-01 0.142334E-01 0.104378E-01
0.0700  4.50 0.971554E+00 0.133435E-01 0.133350E-01 0.857253E-02
0.0700  5.50 0.946919E+00 0.103409E-01 0.124092E-01 0.954556E-02
0.0700  7.00 0.953804E+00 0.935544E-02 0.864474E-02 0.576316E-02
0.0700  9.00 0.972274E+00 0.995193E-02 0.863817E-02 0.153568E-01
0.0700 11.50 0.971110E+00 0.103261E-01 0.769196E-02 0.673047E-02
0.0700 15.00 0.975737E+00 0.108459E-01 0.772861E-02 0.386430E-02
0.0700 20.00 0.973301E+00 0.105489E-01 0.773997E-02 0.116100E-01
0.0700 27.00 0.998273E+00 0.117465E-01 0.116530E-01 0.485541E-02
0.0700 36.00 0.911988E+00 0.114799E-01 0.388080E-01 0.291060E-01
0.0900  2.30 0.930681E+00 0.172900E-01 0.376033E-01 0.564049E-01
0.0900  2.80 0.930256E+00 0.147811E-01 0.281896E-01 0.469826E-01
0.0900  3.50 0.943815E+00 0.125246E-01 0.188763E-01 0.188763E-01
0.0900  4.50 0.937321E+00 0.110659E-01 0.189358E-01 0.378716E-01
0.0900  5.50 0.955077E+00 0.113281E-01 0.151750E-01 0.123297E-01
0.0900  7.00 0.963521E+00 0.938518E-02 0.104627E-01 0.142673E-01
0.0900  9.00 0.974171E+00 0.111478E-01 0.104545E-01 0.133057E-01
0.0900 11.50 0.961258E+00 0.105226E-01 0.855719E-02 0.760639E-02
0.0900 15.00 0.963523E+00 0.107925E-01 0.762431E-02 0.285912E-02
0.0900 20.00 0.972747E+00 0.112893E-01 0.857465E-02 0.666917E-02
0.0900 27.00 0.953234E+00 0.111221E-01 0.104961E-01 0.572513E-02
0.0900 36.00 0.952302E+00 0.987287E-02 0.161891E-01 0.114276E-01
0.1250  2.30 0.743590E+00 0.120207E-01 0.650641E-01 0.102244E+00
0.1250  2.80 0.908835E+00 0.141373E-01 0.278215E-01 0.370953E-01
0.1250  3.50 0.925800E+00 0.119967E-01 0.148574E-01 0.102144E-01
0.1250  4.50 0.932102E+00 0.100143E-01 0.130104E-01 0.223035E-01
0.1250  5.50 0.952283E+00 0.106983E-01 0.129688E-01 0.185269E-01
0.1250  7.00 0.923950E+00 0.102598E-01 0.833222E-02 0.648061E-02
0.1250  9.00 0.926323E+00 0.108794E-01 0.833690E-02 0.463161E-02
0.1250 15.00 0.941316E+00 0.945157E-02 0.555895E-02 0.555895E-02
0.1250 20.00 0.928589E+00 0.110298E-01 0.552731E-02 0.128971E-01
0.1250 36.00 0.927114E+00 0.102551E-01 0.921585E-02 0.147454E-01
0.1250 48.00 0.932134E+00 0.108265E-01 0.138026E-01 0.920171E-02
0.1250 65.00 0.947391E+00 0.107002E-01 0.551878E-01 0.735837E-01
0.1750  3.50 0.859031E+00 0.133639E-01 0.447412E-01 0.268447E-01
0.1750  4.50 0.862924E+00 0.200193E-01 0.179776E-01 0.359552E-01
0.1750  5.50 0.938828E+00 0.157969E-01 0.180370E-01 0.144296E-01
0.1750  7.00 0.935832E+00 0.108263E-01 0.117092E-01 0.162127E-01
0.1750  9.00 0.898057E+00 0.155565E-01 0.107231E-01 0.982948E-02
0.1750 11.50 0.907577E+00 0.127216E-01 0.884578E-02 0.530747E-02
0.1750 27.00 0.891396E+00 0.129021E-01 0.795101E-02 0.618412E-02
0.1750 36.00 0.899174E+00 0.948721E-02 0.971602E-02 0.618292E-02
0.1750 48.00 0.873175E+00 0.863784E-02 0.123479E-01 0.123479E-01
0.1750 65.00 0.876936E+00 0.104911E-01 0.175387E-01 0.438468E-01
0.2500  5.50 0.875476E+00 0.183767E-01 0.339991E-01 0.254993E-01
0.2500  7.00 0.834848E+00 0.144694E-01 0.126364E-01 0.117940E-01
0.2500  9.00 0.827444E+00 0.127344E-01 0.100499E-01 0.586246E-02
0.2500 11.50 0.845924E+00 0.129548E-01 0.835893E-02 0.919482E-02
0.2500 15.00 0.841044E+00 0.153973E-01 0.666834E-02 0.916897E-02
0.2500 20.00 0.833487E+00 0.131083E-01 0.582276E-02 0.998187E-02
0.2500 27.00 0.825402E+00 0.106443E-01 0.659662E-02 0.577204E-02
0.2500 48.00 0.820698E+00 0.134979E-01 0.902767E-02 0.492419E-02
0.2500 65.00 0.833696E+00 0.102962E-01 0.130776E-01 0.490409E-02
0.250 110.00 0.849742E+00 0.117444E-01 0.245118E-01 0.326824E-01
0.350   9.00 0.707739E+00 0.975057E-02 0.307712E-01 0.230784E-01
0.350  11.50 0.751700E+00 0.931070E-02 0.153408E-01 0.306816E-01
0.350  15.00 0.762946E+00 0.923778E-02 0.993817E-02 0.917370E-02
0.350  20.00 0.765776E+00 0.934491E-02 0.761208E-02 0.685088E-02
0.350  27.00 0.749473E+00 0.905836E-02 0.834433E-02 0.219987E-01
0.350  36.00 0.738732E+00 0.889535E-02 0.982959E-02 0.831735E-02
0.350  48.00 0.765430E+00 0.944327E-02 0.120659E-01 0.135741E-01
0.350  65.00 0.743844E+00 0.921076E-02 0.135244E-01 0.525950E-02
0.350 110.00 0.734053E+00 0.977669E-02 0.149807E-01 0.224710E-01
0.450  15.00 0.673030E+00 0.951720E-02 0.210322E-01 0.350537E-01
0.450  20.00 0.692854E+00 0.974780E-02 0.104872E-01 0.174787E-01
0.450  27.00 0.671311E+00 0.993420E-02 0.104566E-01 0.153363E-01
0.450  36.00 0.684667E+00 0.997311E-02 0.125117E-01 0.834113E-02
0.450  48.00 0.656001E+00 0.990033E-02 0.145470E-01 0.152397E-01
0.450  65.00 0.640252E+00 0.101269E-01 0.172854E-01 0.131369E-01
0.450 110.00 0.649776E+00 0.104943E-01 0.192730E-01 0.825986E-02
0.550  20.00 0.685573E+00 0.126066E-01 0.384433E-01 0.384433E-01
0.550  27.00 0.622774E+00 0.123177E-01 0.153456E-01 0.121486E-01
0.550  36.00 0.637535E+00 0.119742E-01 0.191260E-01 0.382521E-01
0.550  48.00 0.598347E+00 0.111710E-01 0.254616E-01 0.318270E-01
0.550  65.00 0.667145E+00 0.132103E-01 0.254150E-01 0.190613E-01
0.550 110.00 0.645377E+00 0.129359E-01 0.253089E-01 0.379633E-01
0.700  36.00 0.472722E+00 0.106299E-01 0.345894E-01 0.807086E-01
0.700  48.00 0.536027E+00 0.125929E-01 0.288186E-01 0.518735E-01
0.700  65.00 0.541748E+00 0.128869E-01 0.288164E-01 0.172898E-01
0.700 110.00 0.443938E+00 0.109385E-01 0.345926E-01 0.109543E+00
