   X     Q^2  F2(Pb)EPS09/F2p Stheo     statEPS09   systEPS09    F2(Pb)DSSZ/F2p   S(F2(Pb)DSSZ)  statDSSZ    systDSSZ  
0.0700 8.267 0.995421E+00 0.139012E-01 0.258255E-01 0.000000E+00 0.989626E+00 0.283466E-01 0.256752E-01 0.000000E+00
0.070010.000 0.965787E+00 0.111777E-01 0.230017E-01 0.000000E+00 0.959846E+00 0.268051E-01 0.228602E-01 0.000000E+00
0.070012.322 0.944965E+00 0.113882E-01 0.211070E-01 0.000000E+00 0.939546E+00 0.255659E-01 0.209859E-01 0.000000E+00
0.070015.655 0.998968E+00 0.112975E-01 0.240118E-01 0.000000E+00 0.991882E+00 0.261976E-01 0.238415E-01 0.000000E+00
0.070019.649 0.101541E+01 0.118434E-01 0.355764E-01 0.000000E+00 0.100790E+01 0.259243E-01 0.353133E-01 0.000000E+00
0.070023.768 0.109668E+01 0.138645E-01 0.158959E+00 0.000000E+00 0.108871E+01 0.274286E-01 0.157804E+00 0.000000E+00
0.0900 1.722 0.109845E+01 0.210530E-01 0.191931E+00 0.000000E+00 0.109472E+01 0.422468E-01 0.191280E+00 0.000000E+00
0.0900 1.935 0.105268E+01 0.176635E-01 0.128907E+00 0.000000E+00 0.105123E+01 0.396219E-01 0.128729E+00 0.000000E+00
0.0900 2.350 0.102160E+01 0.147692E-01 0.863457E-01 0.000000E+00 0.101905E+01 0.371974E-01 0.861306E-01 0.000000E+00
0.0900 2.760 0.927787E+00 0.133996E-01 0.406949E-01 0.000000E+00 0.928071E+00 0.330084E-01 0.407073E-01 0.000000E+00
0.0900 3.242 0.959569E+00 0.138466E-01 0.358744E-01 0.000000E+00 0.960194E+00 0.333481E-01 0.358978E-01 0.000000E+00
0.0900 3.851 0.992780E+00 0.135239E-01 0.283732E-01 0.000000E+00 0.992171E+00 0.336792E-01 0.283558E-01 0.000000E+00
0.0900 4.573 0.945547E+00 0.126994E-01 0.312040E-01 0.000000E+00 0.944778E+00 0.313347E-01 0.311786E-01 0.000000E+00
0.0900 5.492 0.997584E+00 0.126829E-01 0.302298E-01 0.000000E+00 0.997636E+00 0.323729E-01 0.302314E-01 0.000000E+00
0.0900 6.670 0.978000E+00 0.122087E-01 0.283274E-01 0.000000E+00 0.978547E+00 0.310484E-01 0.283432E-01 0.000000E+00
0.0900 8.281 0.954741E+00 0.119155E-01 0.310737E-01 0.000000E+00 0.957493E+00 0.296550E-01 0.311632E-01 0.000000E+00
0.0900 9.945 0.947320E+00 0.105389E-01 0.254434E-01 0.000000E+00 0.949848E+00 0.288470E-01 0.255113E-01 0.000000E+00
0.090012.415 0.958620E+00 0.112384E-01 0.245030E-01 0.000000E+00 0.961100E+00 0.285489E-01 0.245664E-01 0.000000E+00
0.090015.761 0.970154E+00 0.997216E-02 0.245098E-01 0.000000E+00 0.972291E+00 0.282022E-01 0.245637E-01 0.000000E+00
0.090020.119 0.938599E+00 0.102135E-01 0.291613E-01 0.000000E+00 0.941980E+00 0.267082E-01 0.292663E-01 0.000000E+00
0.090025.399 0.101743E+01 0.117913E-01 0.461190E-01 0.000000E+00 0.102129E+01 0.283749E-01 0.462940E-01 0.000000E+00
0.1250 2.292 0.832795E+00 0.119462E-01 0.925944E-01 0.000000E+00 0.843025E+00 0.310079E-01 0.937318E-01 0.000000E+00
