   X     Q^2    F2(Pb)EPS09  S(F2(Pb)EPS09) statEPS09   systEPS09
0.0450  9.00 0.398223E+00 0.444790E-02 0.433709E-02 0.749133E-02
0.0450 11.50 0.406900E+00 0.501008E-02 0.365479E-02 0.243653E-02
0.0450 15.00 0.415961E+00 0.636625E-02 0.418893E-02 0.251336E-02
0.0450 20.00 0.435460E+00 0.698924E-02 0.776067E-02 0.560493E-02
0.0550  2.30 0.321798E+00 0.719568E-02 0.995250E-02 0.132700E-01
0.0550  2.80 0.316451E+00 0.684852E-02 0.102081E-01 0.136108E-01
0.0550  3.50 0.355134E+00 0.614248E-02 0.593053E-02 0.279084E-02
0.0550  4.50 0.364305E+00 0.482846E-02 0.574274E-02 0.100498E-01
0.0550  5.50 0.369218E+00 0.339030E-02 0.550524E-02 0.256911E-02
0.0550  7.00 0.376921E+00 0.360720E-02 0.378434E-02 0.832556E-02
0.0550  9.00 0.392729E+00 0.400292E-02 0.426038E-02 0.503499E-02
0.0550 11.50 0.399686E+00 0.437606E-02 0.396514E-02 0.158606E-02
0.0550 15.00 0.410307E+00 0.558674E-02 0.407050E-02 0.162820E-02
0.0550 20.00 0.422865E+00 0.581560E-02 0.499939E-02 0.291631E-02
0.0550 27.00 0.417495E+00 0.640520E-02 0.127805E-01 0.852032E-02
0.0700  2.30 0.311489E+00 0.624150E-02 0.100480E-01 0.200961E-01
0.0700  2.80 0.338767E+00 0.636740E-02 0.684377E-02 0.102657E-01
0.0700  3.50 0.354024E+00 0.546948E-02 0.524221E-02 0.384429E-02
0.0700  4.50 0.364638E+00 0.500801E-02 0.500484E-02 0.321740E-02
0.0700  5.50 0.360444E+00 0.393626E-02 0.472356E-02 0.363351E-02
0.0700  7.00 0.368958E+00 0.361895E-02 0.334403E-02 0.222936E-02
0.0700  9.00 0.382144E+00 0.391152E-02 0.339516E-02 0.603584E-02
0.0700 11.50 0.387368E+00 0.411900E-02 0.306826E-02 0.268473E-02
0.0700 15.00 0.395189E+00 0.439276E-02 0.313021E-02 0.156511E-02
0.0700 20.00 0.400341E+00 0.433901E-02 0.318362E-02 0.477543E-02
0.0700 27.00 0.416704E+00 0.490328E-02 0.486425E-02 0.202677E-02
0.0700 36.00 0.385601E+00 0.485385E-02 0.164085E-01 0.123064E-01
0.0900  2.30 0.333643E+00 0.619834E-02 0.134805E-01 0.202208E-01
0.0900  2.80 0.337722E+00 0.536616E-02 0.102340E-01 0.170567E-01
0.0900  3.50 0.347013E+00 0.460493E-02 0.694027E-02 0.694027E-02
0.0900  4.50 0.349046E+00 0.412079E-02 0.705143E-02 0.141029E-01
0.0900  5.50 0.358989E+00 0.425796E-02 0.570389E-02 0.463441E-02
0.0900  7.00 0.365971E+00 0.356474E-02 0.397402E-02 0.541911E-02
0.0900  9.00 0.373813E+00 0.427770E-02 0.401166E-02 0.510574E-02
0.0900 11.50 0.372327E+00 0.407574E-02 0.331448E-02 0.294620E-02
0.0900 15.00 0.376797E+00 0.422055E-02 0.298158E-02 0.111809E-02
0.0900 20.00 0.384071E+00 0.445737E-02 0.338554E-02 0.263320E-02
0.0900 27.00 0.379754E+00 0.443087E-02 0.418148E-02 0.228081E-02
0.0900 36.00 0.382284E+00 0.396328E-02 0.649883E-02 0.458741E-02
0.1250  2.30 0.267612E+00 0.432616E-02 0.234161E-01 0.367967E-01
0.1250  2.80 0.329089E+00 0.511911E-02 0.100741E-01 0.134322E-01
0.1250  3.50 0.337080E+00 0.436795E-02 0.540952E-02 0.371904E-02
0.1250  4.50 0.341040E+00 0.366408E-02 0.476028E-02 0.816048E-02
0.1250  5.50 0.349539E+00 0.392685E-02 0.476026E-02 0.680037E-02
0.1250  7.00 0.340237E+00 0.377810E-02 0.306827E-02 0.238643E-02
0.1250  9.00 0.342097E+00 0.401783E-02 0.307887E-02 0.171048E-02
0.1250 15.00 0.349284E+00 0.350709E-02 0.206270E-02 0.206270E-02
0.1250 20.00 0.345272E+00 0.410115E-02 0.205519E-02 0.479545E-02
0.1250 36.00 0.345534E+00 0.382205E-02 0.343473E-02 0.549557E-02
0.1250 48.00 0.347515E+00 0.403628E-02 0.514582E-02 0.343055E-02
0.1250 65.00 0.353106E+00 0.398812E-02 0.205693E-01 0.274257E-01
0.1750  3.50 0.304753E+00 0.474105E-02 0.158726E-01 0.952354E-02
0.1750  4.50 0.304954E+00 0.707476E-02 0.635321E-02 0.127064E-01
0.1750  5.50 0.330581E+00 0.556242E-02 0.635122E-02 0.508097E-02
0.1750  7.00 0.327974E+00 0.379422E-02 0.410363E-02 0.568194E-02
0.1750  9.00 0.313111E+00 0.542383E-02 0.373864E-02 0.342709E-02
0.1750 11.50 0.314787E+00 0.441240E-02 0.306810E-02 0.184086E-02
0.1750 27.00 0.303474E+00 0.439248E-02 0.270690E-02 0.210537E-02
0.1750 36.00 0.304107E+00 0.320864E-02 0.328603E-02 0.209111E-02
0.1750 48.00 0.293308E+00 0.290153E-02 0.414779E-02 0.414779E-02
0.1750 65.00 0.292398E+00 0.349807E-02 0.584796E-02 0.146199E-01
0.2500  5.50 0.281843E+00 0.591604E-02 0.109454E-01 0.820902E-02
0.2500  7.00 0.264516E+00 0.458453E-02 0.400377E-02 0.373685E-02
0.2500  9.00 0.257914E+00 0.396930E-02 0.313255E-02 0.182732E-02
0.2500 11.50 0.259591E+00 0.397548E-02 0.256513E-02 0.282164E-02
0.2500 15.00 0.253866E+00 0.464759E-02 0.201281E-02 0.276761E-02
0.2500 20.00 0.247252E+00 0.388855E-02 0.172731E-02 0.296110E-02
0.2500 27.00 0.240595E+00 0.310269E-02 0.192284E-02 0.168248E-02
0.2500 48.00 0.231566E+00 0.380853E-02 0.254723E-02 0.138940E-02
0.2500 65.00 0.231319E+00 0.285681E-02 0.362853E-02 0.136070E-02
0.250 110.00 0.229148E+00 0.316708E-02 0.661004E-02 0.881338E-02
0.3500  9.00 0.173953E+00 0.239656E-02 0.756317E-02 0.567238E-02
0.3500 11.50 0.179431E+00 0.222247E-02 0.366186E-02 0.732373E-02
0.3500 15.00 0.176634E+00 0.213869E-02 0.230084E-02 0.212385E-02
0.3500 20.00 0.171780E+00 0.209627E-02 0.170755E-02 0.153680E-02
0.3500 27.00 0.162975E+00 0.196976E-02 0.181450E-02 0.478367E-02
0.3500 36.00 0.156086E+00 0.187950E-02 0.207689E-02 0.175737E-02
0.3500 48.00 0.157285E+00 0.194046E-02 0.247937E-02 0.278929E-02
0.3500 65.00 0.148567E+00 0.183966E-02 0.270122E-02 0.105048E-02
0.350 110.00 0.139826E+00 0.186232E-02 0.285360E-02 0.428040E-02
0.4500 15.00 0.105367E+00 0.148997E-02 0.329271E-02 0.548786E-02
0.4500 20.00 0.103668E+00 0.145850E-02 0.156913E-02 0.261522E-02
0.4500 27.00 0.961051E-01 0.142218E-02 0.149696E-02 0.219555E-02
0.4500 36.00 0.941309E-01 0.137114E-02 0.172016E-02 0.114677E-02
0.4500 48.00 0.867382E-01 0.130905E-02 0.192344E-02 0.201504E-02
0.4500 65.00 0.813700E-01 0.128703E-02 0.219681E-02 0.166958E-02
0.450 110.00 0.773484E-01 0.124923E-02 0.229423E-02 0.983243E-03
0.5500 20.00 0.592194E-01 0.108895E-02 0.332071E-02 0.332071E-02
0.5500 27.00 0.507837E-01 0.100444E-02 0.125134E-02 0.990646E-03
0.5500 36.00 0.493333E-01 0.926579E-03 0.148000E-02 0.296000E-02
0.5500 48.00 0.440245E-01 0.821929E-03 0.187338E-02 0.234173E-02
0.5500 65.00 0.466476E-01 0.923678E-03 0.177705E-02 0.133279E-02
0.550 110.00 0.415004E-01 0.831829E-03 0.162747E-02 0.244120E-02
0.7000 36.00 0.104017E-01 0.233898E-03 0.761098E-03 0.177590E-02
0.7000 48.00 0.109978E-01 0.258370E-03 0.591277E-03 0.106430E-02
0.7000 65.00 0.103584E-01 0.246402E-03 0.550977E-03 0.330586E-03
0.700 110.00 0.756034E-02 0.186285E-03 0.589117E-03 0.186554E-02
