  x       Q^2   F2(Sn)/F2(C)    stat.    syst.
0.045  	  11.5	  1.002		0.009	 0.006
0.045  	  15.0	  0.993		0.01	 0.006
0.045  	  20.0	  1.01		0.018	 0.013
0.055 	  2.3	  0.97		0.03	0.04
0.055	  2.8	  0.93		0.03	0.04
0.055	  3.5	  1.018		0.017	0.008
0.055	  4.5	  1.015		0.016	0.028
0.055	  5.5	  1.006		0.015	0.007
0.055	  7.0	  0.996		0.01	0.022
0.055	  9.0	  1.014		0.011	0.013
0.055	  11.5	  1.008		0.01	0.004
0.055	  15.0	  1.008		0.01	0.004
0.055	  20.0	  1.015		0.012	0.007
0.055	  27.0	  0.98		0.03	0.02
0.070 	  2.3	  0.93		0.03	0.06
0.070	  2.8	  0.99		0.02	0.03
0.070	  3.5	  1.013		0.015	0.011
0.070	  4.5	  1.02		0.014	0.009
0.070	  5.5	  0.992		0.013	0.01
0.070	  7.0	  0.993		0.009	0.006
0.070	  9.0	  1.013		0.009	0.016
0.070	  11.5	  1.01		0.008	0.007
0.070	  15.0	  1.01		0.008	0.004
0.070	  20.0	  1.006		0.008	0.012
0.070	  27.0	  1.028		0.012	0.005
0.070	  36.0	  0.94		0.04	0.03
0.090 	  2.3	  0.99		0.04	0.06
0.090	  2.8	  0.99		0.03	0.05
0.090	  3.5	  1.0		0.02	0.02
0.090	  4.5	  0.99		0.02	0.04
0.090	  5.5	  1.007		0.016	0.013
0.090	  7.0	  1.013		0.011	0.015
0.090	  9.0	  1.025		0.011	0.014
0.090	  11.5	  1.011		0.009	0.008
0.090	  15.0	  1.011		0.008	0.003
0.090	  20.0	  1.021		0.009	0.007
0.090	  27.0	  0.999		0.011	0.006
0.090	  36.0	  1.0		0.017	0.012
0.125	  2.3	  0.8		0.07	0.11
0.125	  2.8	  0.98		0.03	0.04
0.125	  3.5	  0.997		0.016	0.011
0.125	  4.5	  1.003		0.014	0.024
0.125	  5.5	  1.028		0.014	0.02
0.125	  7.0	  0.998		0.009	0.007
0.125	  9.0	  1.0		0.009	0.005
0.125	  11.5	  1.012		0.007	0.003
0.125	  15.0	  1.016		0.006	0.006
0.125	  20.0	  1.008		0.006	0.014
0.125	  27.0	  1.02		0.007	0.003
0.125	  36.0	  1.006		0.01	0.016
0.125	  48.0	  1.013		0.015	0.01
0.125	  65.0	  1.03		0.06	0.08
0.175	  3.5	  0.96		0.05	0.03
0.175	  4.5	  0.96		0.02	0.04
0.175	  5.5	  1.041		0.02	0.016
0.175	  7.0	  1.039		0.013	0.018
0.175	  9.0	  1.005		0.012	0.011
0.175	  11.5	  1.026		0.01	0.006
0.175	  15.0	  0.996		0.008	0.004
0.175	  20.0	  1.006		0.008	0.008
0.175	  27.0	  1.009		0.009	0.007
0.175	  36.0	  1.018		0.011	0.007
0.175	  48.0	  0.99		0.014	0.014
0.175	  65.0	  1.0		0.02	0.05
0.250     5.5	  1.03		0.04	0.03
0.250	  7.0	  0.991		0.015	0.014
0.250	  9.0	  0.988		0.012	0.007
0.250	  11.5	  1.012		0.01	0.011
0.250	  15.0	  1.009		0.008	0.011
0.250	  20.0	  1.002		0.007	0.012
0.250	  27.0	  1.001		0.008	0.007
0.250	  36.0	  1.013		0.01	0.005
0.250	  48.0	  1.0		0.011	0.006
0.250	  65.0	  1.02		0.016	0.006
0.250	  110.0	  1.04		0.03	0.04
0.350  	  9.0	  0.92		0.04	0.03
0.350	  11.5	  0.98		0.02	0.04
0.350	  15.0	  0.998		0.013	0.012
0.350	  20.0	  1.006		0.01	0.009
0.350	  27.0	  0.988		0.011	0.029
0.350	  36.0	  0.977		0.013	0.011
0.350	  48.0	  1.015		0.016	0.018
0.350	  65.0	  0.99		0.018	0.007
0.350	  110.0	  0.98		0.02	0.03
0.450     15.0	  0.96		0.03	0.05
0.450	  20.0	  0.991		0.015	0.025
0.450	  27.0	  0.963		0.015	0.022
0.450	  36.0	  0.985		0.018	0.012
0.450	  48.0	  0.947		0.021	0.022
0.450	  65.0	  0.926		0.025	0.019
0.450	  110.0	  0.944		0.028	0.012
0.550     20.0	  1.07		0.06	0.06
0.550	  27.0	  0.974		0.024	0.019
0.550	  36.0	  1.0		0.03	0.06
0.550	  48.0	  0.94		0.04	0.05
0.550	  65.0	  1.05		0.04	0.03
0.550	  110.0	  1.02		0.04	0.06
0.700     36.0	  0.82		0.06	0.14
0.700	  48.0	  0.93		0.05	0.09
0.700	  65.0	  0.94		0.05	0.03
0.700	  110.0	  0.77		0.06	0.19
