   X     Q^2    F2(Pb)DSSZ  S(F2(Pb)DSSZ) statDSSZ   systDSSZ
0.0550  7.00 0.370683E+00 0.681076E-02 0.372172E-02 0.818778E-02
0.0550  9.00 0.386069E+00 0.674712E-02 0.418813E-02 0.494960E-02
0.0550 15.00 0.400633E+00 0.636792E-02 0.397453E-02 0.158981E-02
0.0550 20.00 0.412417E+00 0.624147E-02 0.487587E-02 0.284426E-02
0.0550 27.00 0.406684E+00 0.587245E-02 0.124495E-01 0.829967E-02
0.0700  2.30 0.312244E+00 0.785476E-02 0.100724E-01 0.201448E-01
0.0700  2.80 0.338578E+00 0.816181E-02 0.683996E-02 0.102599E-01
0.0700  3.50 0.353055E+00 0.816090E-02 0.522786E-02 0.383377E-02
0.0700  4.50 0.362507E+00 0.800586E-02 0.497558E-02 0.319859E-02
0.0700  5.50 0.357696E+00 0.765512E-02 0.468755E-02 0.360581E-02
0.0700  9.00 0.377433E+00 0.751110E-02 0.335330E-02 0.596142E-02
0.0700 20.00 0.392555E+00 0.705145E-02 0.312171E-02 0.468257E-02
0.0700 27.00 0.407136E+00 0.707519E-02 0.475256E-02 0.198023E-02
0.0700 36.00 0.377133E+00 0.636634E-02 0.160482E-01 0.120362E-01
0.0900  2.30 0.336621E+00 0.897227E-02 0.136008E-01 0.204012E-01
0.0900  2.80 0.340764E+00 0.878931E-02 0.103262E-01 0.172103E-01
0.0900  3.50 0.348404E+00 0.870273E-02 0.696807E-02 0.696807E-02
0.0900  4.50 0.349119E+00 0.842802E-02 0.705290E-02 0.141058E-01
0.0900  5.50 0.358236E+00 0.844777E-02 0.569193E-02 0.462469E-02
0.0900  7.00 0.363915E+00 0.835425E-02 0.395169E-02 0.538867E-02
0.0900  9.00 0.371754E+00 0.831101E-02 0.398956E-02 0.507762E-02
0.0900 36.00 0.378202E+00 0.750488E-02 0.642944E-02 0.453843E-02
0.1250  2.30 0.271656E+00 0.752164E-02 0.237699E-01 0.373527E-01
0.1250  2.80 0.334058E+00 0.902502E-02 0.102263E-01 0.136350E-01
0.1250  3.50 0.340894E+00 0.899319E-02 0.547072E-02 0.376112E-02
0.1250  4.50 0.343737E+00 0.884685E-02 0.479792E-02 0.822501E-02
0.1250  5.50 0.352750E+00 0.892673E-02 0.480399E-02 0.686285E-02
0.1250 36.00 0.345914E+00 0.776312E-02 0.343850E-02 0.550161E-02
0.1250 48.00 0.347915E+00 0.770459E-02 0.515176E-02 0.343451E-02
0.1250 65.00 0.353134E+00 0.772367E-02 0.205709E-01 0.274279E-01
0.1750  3.50 0.309505E+00 0.803739E-02 0.161201E-01 0.967203E-02
0.1750  4.50 0.307026E+00 0.784278E-02 0.639638E-02 0.127928E-01
0.1750  5.50 0.330725E+00 0.835540E-02 0.635399E-02 0.508319E-02
0.1750  7.00 0.327433E+00 0.817242E-02 0.409686E-02 0.567257E-02
0.1750 48.00 0.293579E+00 0.682708E-02 0.415163E-02 0.415163E-02
0.1750 65.00 0.293750E+00 0.677952E-02 0.587500E-02 0.146875E-01
0.2500  5.50 0.279800E+00 0.706320E-02 0.108660E-01 0.814951E-02
0.2500  7.00 0.263991E+00 0.663029E-02 0.399583E-02 0.372944E-02
0.2500 65.00 0.232853E+00 0.565989E-02 0.365259E-02 0.136972E-02
0.25  110.00 0.229965E+00 0.556493E-02 0.663360E-02 0.884480E-02
0.3500  9.00 0.174872E+00 0.467287E-02 0.760313E-02 0.570235E-02
0.3500 11.50 0.180435E+00 0.481687E-02 0.368234E-02 0.736468E-02
0.3500 27.00 0.164473E+00 0.437553E-02 0.183118E-02 0.482766E-02
0.3500 48.00 0.159038E+00 0.422157E-02 0.250700E-02 0.282037E-02
0.3500 65.00 0.150492E+00 0.399071E-02 0.273621E-02 0.106408E-02
0.35  110.00 0.141649E+00 0.375141E-02 0.289079E-02 0.433619E-02
0.4500 15.00 0.108073E+00 0.310205E-02 0.337727E-02 0.562878E-02
0.4500 20.00 0.106364E+00 0.304980E-02 0.160996E-02 0.268326E-02
0.4500 27.00 0.986756E-01 0.282793E-02 0.153700E-02 0.225427E-02
0.4500 36.00 0.967396E-01 0.277149E-02 0.176783E-02 0.117855E-02
0.4500 48.00 0.892868E-01 0.255706E-02 0.197996E-02 0.207424E-02
0.4500 65.00 0.837694E-01 0.239850E-02 0.226159E-02 0.171881E-02
0.45  110.00 0.797610E-01 0.228318E-02 0.236579E-02 0.101391E-02
0.5500 20.00 0.606291E-01 0.228181E-02 0.339976E-02 0.339976E-02
0.5500 27.00 0.520008E-01 0.195223E-02 0.128133E-02 0.101439E-02
0.5500 36.00 0.505988E-01 0.186714E-02 0.151796E-02 0.303593E-02
0.5500 48.00 0.451650E-01 0.164889E-02 0.192192E-02 0.240240E-02
0.5500 65.00 0.478872E-01 0.172987E-02 0.182427E-02 0.136821E-02
0.55  110.00 0.427023E-01 0.151797E-02 0.167460E-02 0.251190E-02
0.7000 36.00 0.110243E-01 0.399118E-03 0.806658E-03 0.188220E-02
0.7000 48.00 0.116507E-01 0.424280E-03 0.626379E-03 0.112748E-02
0.7000 65.00 0.109700E-01 0.398327E-03 0.583513E-03 0.350108E-03
0.70  110.00 0.799634E-02 0.292421E-03 0.623091E-03 0.197312E-02
